Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cardiac Hypertrophy Signaling (Enhanced)	7.7E00	3.2E-01	-1.986	ACVR1C,ACVR2A,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADRA2A,ADRB2,AGT,AKT1,AKT2,AKT3,ATF2,ATP2A2,BMPR2,CACNA1A,CACNA1D,CAMK2B,CAMK4,CSF2,CTF1,EDN1,EIF2B4,EIF2B5,EIF4EBP1,FGF1,FGF14,FGFR2,FGFR3,FGFR4,FZD1,FZD2,FZD3,FZD6,GDE1,GDPD1,GHR,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNG5,HDAC1,HDAC5,HDAC8,IKBKE,IKBKG,IL11RA,IL12RB1,IL12RB2,IL15,IL17RB,IL17RC,IL17RD,IL18,IL18R1,IL2RB,IL2RG,IL3RA,IL4R,ITGA2,ITGA4,ITGA5,JUN,LIF,LTA,LTB,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MAPKAPK2,MAPKAPK3,MEF2A,MPPE1,MRAS,MTOR,NAPEPLD,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NOTUM,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKACB,PRKAR1B,PRKD3,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,ROCK2,RPS6KA5,SMPDL3A,SMPDL3B,SRF,STAT3,TGFB1,TGFBR1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF12,TNFSF13,TNFSF15,TULP2,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Protein Ubiquitination Pathway	7.68E00	3.59E-01	NaN	AMFR,B2M,BIRC3,BIRC6,CDC20,CDC34,DNAJB1,DNAJB11,DNAJB13,Dnajb3,DNAJB4,DNAJB7,DNAJC11,DNAJC12,DNAJC13,DNAJC17,DNAJC27,DNAJC28,DNAJC4,FZR1,HLA-A,HLA-E,HSP90AB1,HSPA12A,HSPA14,HSPA1A/HSPA1B,HSPA1L,HSPA2,HSPA5,HSPA9,HSPE1,PSMA2,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMB8,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD7,PSMD9,PSME1,PSME2,SMURF1,TAP1,TAP2,THOP1,TRAP1,UBA1,Ubb,UBC,UBD,UBE2C,UBE2E3,UBE2F,UBE2G2,UBE2J2,UBE2L6,UBE2M,UBE2Q2,UBE2S,UBE2T,UBE4A,UBR1,USP18,USP2,USP24,USP32,USP33,USP34,USP37,USP39,USP4,USP43,USP49,USP53,USP54,USP9X,VHL,XIAP,ZBTB12	
Endocannabinoid Cancer Inhibition Pathway	7.67E00	4.2E-01	1.549	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ATF2,ATF3,ATF4,CASP14,CASP3,CASP4,CASP7,CASP8,CCND1,CCND3,CCNE1,CDH1,CDKN1A,CDKN1B,CNR1,CREB3,CREB3L3,CREB3L4,DDIT3,GNAI1,GNAI2,GNB1L,HNF1A,LEF1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MTOR,NOS2,NOS3,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKAA2,PRKACB,PRKAR1B,RAF1,RHOA,ROCK2,SNAI2,SPTLC1,TCF4,TCF7L1,TRIB3	
ERK/MAPK Signaling	7.66E00	3.89E-01	-0.602	ATF2,ATF4,CREB3,CREB3L3,CREB3L4,DUSP4,DUSP6,DUSP9,EIF4EBP1,ELF3,ETS1,FOS,ITGA2,ITGA4,ITGA5,KSR1,LAMTOR3,MAP2K1,MRAS,MYCN,NFATC1,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCG2,PPARG,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,PTK2B,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RAPGEF3,RAPGEF4,RASD1,RASD2,RPS6KA1,RPS6KA4,RPS6KA5,SOS2,SRF,STAT1,STAT3,TLN2,YWHAG,YWHAH	
PPARα/RXRα Activation	7.61E00	3.89E-01	-1.604	ABCA1,ACAA1,ACADL,ACVR1C,ACVR2A,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AIP,APOA2,BCL3,BMPR2,CAND1,CD36,CHD5,CLOCK,CPT1B,CYP2C18,Cyp2c40 (includes others),Cyp2c70,CYP2C8,CYP2C9,GHR,GNA14,GNA15,GOT2,GPD1,HELZ2,HSP90AB1,IKBKE,IKBKG,IL1RAP,INSR,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MRAS,NCOA3,NCOR1,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOTUM,NR0B2,NR2C2,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPARA,PRKAA2,PRKACB,PRKAR1B,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SLC27A1,SOS2,STAT5B,TGFB1,TGFBR1	
Natural Killer Cell Signaling	7.59E00	3.86E-01	0.808	AKT1,AKT2,AKT3,B2M,CFL1,COL18A1,HCST,HLA-A,HLA-E,HLA-G,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,IL12RB1,IL12RB2,IL15,IL18,IL18R1,IL2RB,JAK3,KLRB1,LCK,LIMK1,LIMK2,MAP2K1,MAP2K3,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MRAS,MTOR,MYD88,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PTK2B,PTPN11,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RASSF5,RELA,SOS2,TNFSF10,VAV1,VAV3	
PI3K Signaling in B Lymphocytes	7.47E00	4.2E-01	1.236	AKT1,AKT2,AKT3,ATF2,ATF3,ATF4,ATF6B,BCL10,C3,CAMK2B,CAMK4,CD40,CD79B,FOS,IKBKE,IKBKG,IL4R,INPP5D,IRS2,JUN,MALT1,MAP2K1,MRAS,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOTUM,PIK3AP1,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLEKHA2,PPP3CA,PTEN,PTPRC,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,VAV1,VAV3	
Estrogen Receptor Signaling	7.3E00	3.41E-01	0.095	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AGT,AKT1,AKT2,AKT3,ARG2,ATF2,ATF4,ATP5F1A,BCL2,CACNA1A,CACNA1D,CARM1,CCND1,CDKN1A,CFL1,CREB3,CREB3L3,CREB3L4,CYC1,DDX5,EGF,EIF2B4,EIF2B5,EIF4EBP1,FBXO32,FOS,FOXA1,FOXO6,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNG5,HSP90AB1,JAK3,JUN,LIMK1,LIMK2,MAP2K1,MED13,MED21,MED27,MED30,MMP11,MMP15,MMP23B,MMP28,MMP7,MRAS,MTOR,MYL10,MYL9,MYLPF,NCOA2,NCOA3,NCOR1,NFKB2,NOS3,NOTUM,NR0B2,NR3C1,NRF1,NRIP1,PAK1,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,POLR2B,Ppp1r12b,PRKAA2,PRKACB,PRKAR1B,PRKD3,PRKDC,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,ROCK2,SETD7,SHF,SNAI1,SOD2,SOS2,SRA1,UQCRC2,UQCRFS1	
Role of Tissue Factor in Cancer	7.27E00	4.36E-01	NaN	AKT1,AKT2,AKT3,CASP3,CFL1,CSF1,CSF2,EGR1,F10,F2RL1,F3,FGA,FGR,GNA14,GNA15,HBEGF,HCK,LCK,LIMK1,LIMK2,MAPK11,MAPK13,MRAS,MTOR,PAK1,PDIA2,PDIA6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLAUR,PLCB1,PTEN,PTK2B,PTPN11,RAC1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,STAT5B,YES1	
Cardiac Hypertrophy Signaling	7.11E00	3.62E-01	-0.563	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADRA2A,ADRB2,AKT1,ATF2,CACNA1A,CACNA1D,CAMK4,EIF2B4,EIF2B5,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MAPKAPK2,MAPKAPK3,MEF2A,MRAS,MTOR,MYL10,MYL9,MYLPF,NFATC4,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKACB,PRKAR1B,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,RPS6KA1,SRF,TGFB1,TGFBR1	
TNFR1 Signaling	7.04E00	5.6E-01	4.041	BID,BIRC3,CASP3,CASP7,CASP8,FOS,IKBKE,IKBKG,JUN,MAP2K4,MAP3K1,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,PAK1,PAK3,PAK4,PAK6,RELA,TNF,TNFAIP3,TNFRSF1A,TRADD,TRAF2,XIAP	
IL-12 Signaling and Production in Macrophages	6.97E00	4.17E-01	NaN	AKT1,AKT2,AKT3,ALB,ALOX12,ALOX15,APOA2,APOA4,APOB,APOC2,APOD,CD40,CEBPB,CLU,FOS,Ifna4,IKBKE,IKBKG,IL12RB1,IL12RB2,IL18,IRF1,IRF8,JMJD6,JUN,LYZ,MAF,MAP2K1,MAP2K4,MAP3K8,MAPK11,MAPK13,MST1R,MYD88,NFKB2,NFKBIB,NOS2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPARG,PRKD3,RAB7A,RBP4,REL,RELA,STAT1,STAT6,TGFB1,TLR2,TNF	
Prostate Cancer Signaling	6.94E00	4.62E-01	NaN	AKT1,AKT2,AKT3,ATF2,ATF4,BCL2,CCND1,CCNE1,CDKN1A,CDKN1B,CREB3,CREB3L3,CREB3L4,HSP90AB1,KLK3,LEF1,MAP2K1,MRAS,MTOR,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOS2,SRD5A1,SUV39H1	
Ceramide Signaling	6.94E00	4.66E-01	2.596	AKT1,AKT2,AKT3,BCL2,CNKSR1,FOS,JUN,KSR1,MAP2K1,MAP2K4,MAP3K1,MRAS,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SPHK1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	
RANK Signaling in Osteoclasts	6.94E00	4.66E-01	1.480	AKT1,AKT2,AKT3,BIRC3,CAMK4,FOS,GSN,IKBKE,IKBKG,JUN,MAP2K1,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,NFATC1,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PTK2B,RAF1,RELA,TRAF2,XIAP	
TNFR2 Signaling	6.92E00	6.67E-01	3.153	BIRC3,FOS,IKBKE,IKBKG,JUN,LTA,MAP2K4,MAP3K1,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TNF,TNFAIP3,TNFRSF1B,TRAF2,XIAP	
IL-8 Signaling	6.91E00	3.75E-01	2.109	AKT1,AKT2,AKT3,ANGPT2,BCL2,CCND1,CCND3,CDH1,EGF,EIF4EBP1,FLT4,FOS,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GPLD1,HBEGF,HMOX1,ICAM1,IKBKE,IKBKG,IQGAP1,IRAK2,ITGAM,JUN,LIMK1,LIMK2,MAP2K1,MAP2K4,MRAS,MTOR,MYL9,NAPEPLD,NCF2,NFKBIB,NOX1,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB2,PLD1,PLD5,Pld6,PRKD3,PTK2B,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,TEK,VASP	
PTEN Signaling	6.9E00	4.21E-01	-0.289	AKT1,AKT2,AKT3,BCL2,BMPR2,CASP3,CCND1,CDKN1A,CDKN1B,CSNK2A2,FGFR2,FGFR3,FGFR4,FLT4,FOXO6,GHR,IKBKE,IKBKG,INPP5D,INPP5J,INPP5K,INSR,ITGA2,ITGA4,ITGA5,MAGI1,MAGI3,MAP2K1,MRAS,NFKB2,NTRK1,PDGFRB,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SHARPIN,SIRT6,SOS2,TGFBR1,YWHAH	
GNRH Signaling	6.85E00	3.87E-01	0.000	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ATF2,ATF4,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK2B,CAMK4,CREB3,CREB3L3,CREB3L4,EGR1,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNG5,GNRH1,HBEGF,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MRAS,NFKB2,PAK1,PAK3,PAK4,PAK6,PLCB1,PLCB2,PLCB4,PRKACB,PRKAR1B,PRKD3,PTK2B,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOS2	
G-Protein Coupled Receptor Signaling	6.81E00	3.49E-01	NaN	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADORA2A,ADORA2B,ADRA2A,ADRB2,AKT1,AKT2,AKT3,ATF2,ATF4,CAMK2B,CAMK4,CHRM1,CHRM3,CNR1,CREB3,CREB3L3,CREB3L4,DUSP4,DUSP6,DUSP9,GDE1,GDPD1,GNA14,GNA15,GNAI1,GNAI2,GRK4,GRM2,HRH3,HTR4,HTR6,IKBKE,IKBKG,LAMTOR3,MAP2K1,MAP3K8,MPPE1,MRAS,NAPEPLD,NFKB2,NFKBIA,NFKBIB,NFKBIE,OPRD1,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PRKACB,PRKAR1B,PTK2B,RAF1,RALB,RAP1GAP,RAP2A,RAP2B,RAPGEF3,RAPGEF4,RASA1,RASD1,RASD2,RELA,RGS2,RGS4,RPS6KA1,SMPDL3A,SMPDL3B,SOS2,SSTR3,STAT3,SYNGAP1,TULP2,VIPR1	
Sphingosine-1-phosphate Signaling	6.81E00	4.27E-01	0.447	ACER1,ACER2,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ASAH2,CASP14,CASP3,CASP4,CASP7,CASP8,GNAI1,GNAI2,NOTUM,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PTK2B,RAC1,RAC2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SPHK1	
Acute Myeloid Leukemia Signaling	6.77E00	4.61E-01	0.507	AKT1,AKT2,AKT3,CCNA1,CCND1,CSF1R,EIF4EBP1,HNF1A,IDH1,IDH3B,KIT,KITLG,LEF1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MRAS,MTOR,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIM1,PML,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOS2,STAT3,STAT5B,TCF4,TCF7L1	
Tec Kinase Signaling	6.72E00	3.9E-01	1.131	ACTB,ACTG1,BMX,FAS,FGR,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,HCK,ITGA2,ITGA4,ITGA5,JAK3,LCK,MAP2K4,MRAS,NFKB2,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PTK2B,RAC1,RAC2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,STAT1,STAT2,STAT3,STAT5B,STAT6,TEC,TNF,TNFRSF10A,TNFRSF21,TNFSF10,TNFSF12,TXK,VAV1,VAV3,YES1	
PKCθ Signaling in T Lymphocytes	6.59E00	3.94E-01	1.260	BCL10,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK2B,CARD11,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IKBKE,IKBKG,JUN,LCK,MALT1,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MRAS,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,POU2F1,PPP3CA,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOS2,VAV1,VAV3	
Colorectal Cancer Metastasis Signaling	6.58E00	3.52E-01	1.026	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,APC,BIRC5,CASP3,CCND1,CDH1,E2F4,EGF,FOS,FZD1,FZD2,FZD3,FZD6,GNB1,GNB1L,GNB2,GNG5,HNF1A,JAK3,JUN,LEF1,LRP1,LRP5,LRP6,MAP2K1,MAP2K4,MMP11,MMP15,MMP23B,MMP28,MMP7,MRAS,MSH3,NFKB2,NOS2,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SOS2,STAT1,STAT3,TCF4,TCF7L1,TGFB1,TGFBR1,TLR1,TLR2,TLR5,TLR9,TNF,TNFRSF1A,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Angiopoietin Signaling	6.57E00	4.8E-01	0.962	AKT1,AKT2,AKT3,ANGPT2,BIRC5,GRB7,IKBKE,IKBKG,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS3,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RELA,STAT5B,TEK,TNIP1	
Sumoylation Pathway	6.53E00	4.37E-01	-1.061	ARHGDIA,ARHGDIB,CBX4,CDH1,DAXX,ETS1,FAS,FOS,HDAC1,ISG20,JUN,KDM1A,MAP2K4,MYB,NFKB2,NFKBIA,NR3C1,PIAS4,PML,RAC1,RAC2,RAN,RANGAP1,RCC1,RFC3,RFC5,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,RNF4,SAE1,SENP3,SENP6,SENP7,SIRT1,SNCA,SUMO3,XIAP,ZNF217	
Thrombin Signaling	6.46E00	3.65E-01	0.391	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF2,ARHGEF3,ARHGEF5,CAMK1,CAMK1D,CAMK2B,CAMK4,EGF,GATA3,GATA6,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,MAP2K1,MAPK11,MAPK13,MRAS,MYL10,MYL9,MYLK,MYLPF,NFKB2,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,Ppp1r12b,PRKD3,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2	
Sirtuin Signaling Pathway	6.45E00	3.4E-01	-2.255	ABCA1,ACADL,AGTRAP,AKT1,ARG2,ATG10,ATG14,ATG16L2,ATG4D,ATP5F1A,ATP5F1B,CDH1,CLOCK,CPS1,CPT1B,CYC1,DOT1L,DUSP6,G6PD,GABARAPL1,GADD45B,GADD45G,GLS,GOT2,HMGCS2,JUN,MAP1LC3B,MAPK15,MTOR,MYCN,NDRG1,NDUFA10,NDUFA12,NDUFA4L2,NDUFA8,NDUFA9,NDUFB6,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV1,NFKB2,NOS2,NOS3,NR1H2,NR1H3,NR1H4,OTC,PCK1,PCK2,PFKFB3,PGAM1,PGAM2,PGK1,POLR1A,POLR1E,POLR3D,PPARA,PPARG,PRKAA2,PRKDC,RELA,RRP9,SCNN1A,SDHB,SIRT1,SIRT6,SLC25A4,SLC25A5,SLC2A1,SOD2,STAT3,SUV39H1,TIMM10,TIMM13,TIMM17A,TIMM22,TIMM23,TIMM44,TIMM50,TNF,TOMM20,TOMM22,TOMM40,TOMM40L,Tomm5,TSPO,TUBA1B,TUBA1C,TUBA4A,TUBA8,UQCRC2,UQCRFS1,VDAC1,VDAC2,XPA,XRCC6	
IL-4 Signaling	6.41E00	4.59E-01	NaN	AKT1,AKT2,AKT3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HMGA1,IL2RG,IL4R,INPP5D,INPP5J,INPP5K,JAK3,MRAS,MTOR,NFAT5,NFATC1,NFATC3,NFATC4,NR3C1,NR3C2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RALB,RAP2A,RAP2B,RASD1,RASD2,SOCS1,SOS2,STAT6	
NGF Signaling	6.33E00	4.21E-01	0.905	AKT1,AKT2,AKT3,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,IKBKE,IKBKG,MAP2K1,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MRAS,NFKB2,NTRK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PTPN11,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SOS2,TRAF4	
Protein Kinase A Signaling	6.3E00	3.19E-01	-0.588	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADD3,AKAP11,AKAP5,AKAP7,ATF2,ATF4,CAMK2B,CAMK4,CDC14B,CDC25B,CREB3,CREB3L3,CREB3L4,CREM,DHH,DUSP10,DUSP12,DUSP16,DUSP4,DUSP5,DUSP6,DUSP8,DUSP9,EPM2A,FLNB,GDE1,GDPD1,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GYS1,HNF1A,KDELR3,LEF1,LIPE,MAP2K1,MAP3K1,MPPE1,MYL10,MYL9,MYLK,MYLK3,MYLPF,NAPEPLD,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS3,NOTUM,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PHKB,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP3CA,PRKACB,PRKAR1B,PRKD3,PTEN,PTK2B,PTP4A1,PTPN11,PTPN13,PTPN22,PTPN4,PTPRB,PTPRC,Ptprd,PTPRN,PTPRO,PTPRQ,PTPRR,PTPRT,PTPRU,PYGL,RAF1,RELA,RHOA,ROCK2,SFN,SHH,SMPDL3A,SMPDL3B,TCF4,TCF7L1,TGFB1,TGFBR1,TIMM50,TNNI2,TULP2,UBASH3B,VASP,YWHAE,YWHAG,YWHAH	
