Expr Log Ratio,Expr False Discovery Rate (q-value),ID,Flags,Symbol,Entrez Gene Name,Location,Type(s),Drug(s)
0.155,0.678,Flywch1, ,FLYWCH1,FLYWCH-type zinc finger 1,Nucleus,other, 
0.266,0.775,Flywch2, ,FLYWCH2,FLYWCH family member 2,Other,other, 
-0.013,0.987,Fmn1, ,FMN1,formin 1,Nucleus,other, 
-1.86,0.0518,Fmn2, ,FMN2,formin 2,Cytoplasm,other, 
1.16,0.092,Fmnl1, ,Fmnl1,formin-like 1,Cytoplasm,other, 
0.306,0.596,Fmnl2, ,FMNL2,formin like 2,Cytoplasm,other, 
-0.112,0.961,Fmnl3, ,FMNL3,formin like 3,Cytoplasm,other, 
1.194,0.0000734,Fmo1, ,FMO1,flavin containing monooxygenase 1,Cytoplasm,enzyme, 
-0.158,0.9,Fmo2, ,FMO2,flavin containing monooxygenase 2,Cytoplasm,enzyme, 
-0.984, ,Fmo3, ,FMO3,flavin containing monooxygenase 3,Cytoplasm,enzyme, 
0.027,0.982,Fmo4, ,FMO4,flavin containing monooxygenase 4,Cytoplasm,enzyme, 
-0.181,0.823,Fmo5, ,FMO5,flavin containing monooxygenase 5,Cytoplasm,enzyme, 
 , ,Fmo9, ,Fmo9,flavin containing monooxygenase 9,Other,other, 
-1.567, ,Fmod, ,FMOD,fibromodulin,Extracellular Space,other, 
-0.014,0.982,Fmr1, ,FMR1,fragile X mental retardation 1,Cytoplasm,translation regulator, 
-0.917,0.879,Fmr1nb, ,Fmr1nb,fragile X mental retardation 1 neighbor,Nucleus,other, 
-0.6,0.518,Fn1, ,FN1,fibronectin 1,Extracellular Space,enzyme,"ocriplasmin, L19-IL2 monoclonal antibody-cytokine fusion protein"
-0.386,0.662,Fn3k, ,FN3K,fructosamine 3 kinase,Cytoplasm,kinase, 
-0.033,0.975,Fn3krp, ,FN3KRP,fructosamine 3 kinase related protein,Cytoplasm,kinase, 
0.094,0.953,Fnbp1, ,FNBP1,formin binding protein 1,Nucleus,enzyme, 
0.055,0.911,Fnbp1l, ,Fnbp1l,formin binding protein 1-like,Cytoplasm,other, 
0.004,0.996,Fnbp4, ,FNBP4,formin binding protein 4,Nucleus,other, 
 , ,Fnd3c2, ,Fnd3c2,fibronectin type III domain containing 3C2,Other,other, 
0.54,0.914,Fndc1, ,Fndc1,fibronectin type III domain containing 1,Plasma Membrane,other, 
-0.875, ,BC051628, ,FNDC11,fibronectin type III domain containing 11,Cytoplasm,other, 
-0.046,0.915,Fndc3a, ,FNDC3A,fibronectin type III domain containing 3A,Cytoplasm,other, 
-0.21,0.542,Fndc3b, ,FNDC3B,fibronectin type III domain containing 3B,Cytoplasm,other, 
-0.984, ,Fndc3c1, ,Fndc3c1, ,Other,other, 
0.491,0.906,Fndc4, ,FNDC4,fibronectin type III domain containing 4,Extracellular Space,other, 
-0.901,0.478,Fndc5, ,FNDC5,fibronectin type III domain containing 5,Extracellular Space,other, 
0.459, ,Fndc7, ,FNDC7,fibronectin type III domain containing 7,Other,other, 
-0.243,0.931,Fndc8, ,FNDC8,fibronectin type III domain containing 8,Nucleus,other, 
-0.05,0.942,Fnip1, ,FNIP1,folliculin interacting protein 1,Cytoplasm,other, 
-0.197,0.384,Fnip2, ,FNIP2,folliculin interacting protein 2,Cytoplasm,other, 
-0.105,0.825,Fnta, ,FNTA,"farnesyltransferase, CAAX box, alpha",Cytoplasm,enzyme,lonafarnib
0.16,0.783,Fntb, ,FNTB,"farnesyltransferase, CAAX box, beta",Cytoplasm,enzyme,lonafarnib
0.151,0.619,BC057079, ,FOCAD,focadhesin,Plasma Membrane,other, 
1.507, ,Folh1, ,Folh1,folate hydrolase 1,Plasma Membrane,peptidase, 
0.464,0.907,Folr1, ,FOLR1,folate receptor 1,Plasma Membrane,transporter,farletuzumab
0.109,0.967,Folr2, ,FOLR2,folate receptor beta,Plasma Membrane,transporter, 
0.261,0.642,Fos, ,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator, 
0.404,0.924,Fosb, ,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator, 
2.212, ,Fosl1, ,FOSL1,"FOS like 1, AP-1 transcription factor subunit",Nucleus,transcription regulator, 
0.295,0.0372,Fosl2, ,FOSL2,"FOS like 2, AP-1 transcription factor subunit",Nucleus,transcription regulator, 
0.144,0.906,Foxa1, ,FOXA1,forkhead box A1,Nucleus,transcription regulator, 
-0.001,0.999,Foxa2, ,FOXA2,forkhead box A2,Nucleus,transcription regulator, 
-0.094,0.876,Foxa3, ,FOXA3,forkhead box A3,Nucleus,transcription regulator, 
 , ,Foxb1, ,FOXB1,forkhead box B1,Nucleus,transcription regulator, 
 , ,Foxb2, ,Foxb2,forkhead box B2,Nucleus,other, 
-0.191,0.907,Foxc1, ,FOXC1,forkhead box C1,Nucleus,transcription regulator, 
0.896, ,Foxc2, ,FOXC2,forkhead box C2,Nucleus,transcription regulator, 
 , ,Foxd1, ,FOXD1,forkhead box D1,Nucleus,transcription regulator, 
2.492,0.334,Foxd2, ,FOXD2,forkhead box D2,Nucleus,transcription regulator, 
-0.984, ,Foxd3, ,FOXD3,forkhead box D3,Nucleus,transcription regulator, 
1.275, ,Foxd4, ,FOXD4,forkhead box D4,Nucleus,transcription regulator, 
-0.984, ,Foxe1, ,FOXE1,forkhead box E1,Nucleus,transcription regulator, 
 , ,Foxe3, ,Foxe3,forkhead box E3,Nucleus,transcription regulator, 
-0.441, ,Foxf2, ,FOXF2,forkhead box F2,Nucleus,transcription regulator, 
-0.984, ,Foxg1, ,FOXG1,forkhead box G1,Nucleus,transcription regulator, 
-0.506,0.95,Foxh1, ,FOXH1,forkhead box H1,Nucleus,transcription regulator, 
-1.741, ,Foxi1, ,FOXI1,forkhead box I1,Nucleus,transcription regulator, 
 , ,Foxi2, ,FOXI2,forkhead box I2,Nucleus,transcription regulator, 
 , ,Foxi3, ,FOXI3,forkhead box I3,Nucleus,transcription regulator, 
1.678, ,Foxj1, ,FOXJ1,forkhead box J1,Nucleus,transcription regulator, 
0.165,0.822,Foxj2, ,FOXJ2,forkhead box J2,Nucleus,transcription regulator, 
0.094,0.837,Foxj3, ,FOXJ3,forkhead box J3,Nucleus,transcription regulator, 
0.158,0.634,Foxk1, ,FOXK1,forkhead box K1,Nucleus,transcription regulator, 
0.194,0.387,Foxk2, ,FOXK2,forkhead box K2,Nucleus,transcription regulator, 
-0.984, ,Foxl2, ,FOXL2,forkhead box L2,Nucleus,transcription regulator, 
0.107,0.876,Foxm1, ,FOXM1,forkhead box M1,Nucleus,transcription regulator, 
-2.02, ,Foxn1, ,FOXN1,forkhead box N1,Nucleus,transcription regulator, 
-0.129,0.703,Foxn2, ,FOXN2,forkhead box N2,Nucleus,other, 
0.067,0.924,Foxn3, ,Foxn3,forkhead box N3,Other,other, 
-0.263, ,Foxn4, ,FOXN4,forkhead box N4,Nucleus,transcription regulator, 
0.234,0.517,Foxo1, ,FOXO1,forkhead box O1,Nucleus,transcription regulator, 
0.028,0.973,Foxo3, ,FOXO3,forkhead box O3,Nucleus,transcription regulator, 
0.044,0.956,Foxo4, ,FOXO4,forkhead box O4,Nucleus,transcription regulator, 
-0.005,0.997,Foxo6, ,FOXO6,forkhead box O6,Nucleus,transcription regulator, 
-0.041,0.952,Foxp1, ,Foxp1,forkhead box P1,Nucleus,transcription regulator, 
-0.655,0.901,Foxp2, ,Foxp2,forkhead box P2,Nucleus,transcription regulator, 
-0.144,0.947,Foxp3, ,FOXP3,forkhead box P3,Nucleus,transcription regulator, 
0.179,0.791,Foxp4, ,FOXP4,forkhead box P4,Nucleus,transcription regulator, 
-0.542,0.426,Foxq1, ,FOXQ1,forkhead box Q1,Nucleus,transcription regulator, 
1.816, ,Foxr1, ,FOXR1,forkhead box R1,Nucleus,transcription regulator, 
 , ,Foxr2, ,FOXR2,forkhead box R2,Nucleus,transcription regulator, 
-0.055,0.937,Foxred1, ,FOXRED1,FAD dependent oxidoreductase domain containing 1,Cytoplasm,other, 
-0.059,0.976,Foxred2, ,FOXRED2,FAD dependent oxidoreductase domain containing 2,Cytoplasm,other, 
-0.263, ,Foxs1, ,FOXS1,forkhead box S1,Nucleus,transcription regulator, 
0.112,0.898,Fpgs, ,FPGS,folylpolyglutamate synthase,Cytoplasm,enzyme,pralatrexate
-0.07,0.942,Fpgt, ,FPGT,fucose-1-phosphate guanylyltransferase,Cytoplasm,enzyme, 
 , ,Fpr-rs3, ,Fpr-rs3,"formyl peptide receptor, related sequence 3",Plasma Membrane,G-protein coupled receptor, 
 , ,Fpr-rs4, ,Fpr-rs4,"formyl peptide receptor, related sequence 4",Plasma Membrane,G-protein coupled receptor, 
 , ,Fpr-rs6, ,Fpr-rs6,"formyl peptide receptor, related sequence 6",Plasma Membrane,G-protein coupled receptor, 
-0.984, ,Fpr-rs7, ,Fpr-rs7,"formyl peptide receptor, related sequence 7",Plasma Membrane,G-protein coupled receptor, 
-1.519, ,Fpr1, ,FPR1,formyl peptide receptor 1,Plasma Membrane,G-protein coupled receptor, 
 , ,Fpr2, ,FPR2,formyl peptide receptor 2,Plasma Membrane,G-protein coupled receptor, 
-0.984, ,Fpr3, ,Fpr3,formyl peptide receptor 3,Other,other, 
-1.541,2.16E-12,Fras1, ,FRAS1,Fraser extracellular matrix complex subunit 1,Extracellular Space,other, 
0.159,0.638,Frat2, ,FRAT2,"FRAT2, WNT signaling pathway regulator",Cytoplasm,other, 
0.394, ,Frem1, ,FREM1,FRAS1 related extracellular matrix 1,Extracellular Space,other, 
-2.307,5.11E-11,Frem2, ,FREM2,FRAS1 related extracellular matrix protein 2,Extracellular Space,other, 
-0.443,0.957,Frem3, ,FREM3,FRAS1 related extracellular matrix 3,Extracellular Space,other, 
0.139,0.65,Frg1, ,FRG1,FSHD region gene 1,Nucleus,transporter, 
-0.162,0.908,AA415398, ,FRG2/FRG2B,FSHD region gene 2 family member B,Other,other, 
-0.216,0.494,Frk, ,FRK,fyn related Src family tyrosine kinase,Nucleus,kinase,regorafenib
-1.542,0.0669,Frmd3, ,FRMD3,FERM domain containing 3,Other,other, 
-0.313,0.301,Frmd4a, ,FRMD4A,FERM domain containing 4A,Plasma Membrane,other, 
0.165,0.393,Frmd4b, ,FRMD4B,FERM domain containing 4B,Cytoplasm,other, 
-0.374,0.85,Frmd5, ,FRMD5,FERM domain containing 5,Plasma Membrane,other, 
0.042,0.984,Frmd6, ,FRMD6,FERM domain containing 6,Cytoplasm,other, 
1.083, ,Frmd7, ,FRMD7,FERM domain containing 7,Plasma Membrane,other, 
-0.119,0.876,Frmd8, ,FRMD8,FERM domain containing 8,Other,other, 
-0.014, ,Frmpd1, ,FRMPD1,FERM and PDZ domain containing 1,Cytoplasm,other, 
-0.984, ,Frmpd3, ,FRMPD3,FERM and PDZ domain containing 3,Cytoplasm,other, 
-1.271,0.676,Frmpd4, ,FRMPD4,FERM and PDZ domain containing 4,Other,other, 
0.061,0.932,Frrs1, ,FRRS1,ferric chelate reductase 1,Plasma Membrane,transmembrane receptor, 
0.077,0.915,Frs2, ,FRS2,fibroblast growth factor receptor substrate 2,Plasma Membrane,kinase, 
-0.232,0.851,Frs3, ,FRS3,fibroblast growth factor receptor substrate 3,Plasma Membrane,other, 
-0.128,0.896,Fry, ,FRY,FRY microtubule binding protein,Extracellular Space,other, 
-0.006,0.994,Fryl, ,FRYL,FRY like transcription coactivator,Other,other, 
-1.12,0.81,Frzb, ,FRZB,frizzled related protein,Extracellular Space,other, 
 , ,Fscb, ,Fscb,fibrous sheath CABYR binding protein,Plasma Membrane,other, 
3.631,0.212,Fscn1, ,FSCN1,fascin actin-bundling protein 1,Cytoplasm,other, 
-0.527,0.793,Fscn2, ,FSCN2,"fascin actin-bundling protein 2, retinal",Cytoplasm,other, 
-0.374,0.951,Fscn3, ,FSCN3,fascin actin-bundling protein 3,Cytoplasm,other, 
0.203,0.905,Fsd1, ,FSD1,fibronectin type III and SPRY domain containing 1,Cytoplasm,other, 
-0.058,0.953,Fsd1l, ,FSD1L,fibronectin type III and SPRY domain containing 1 like,Other,other, 
-0.392,0.894,Fsd2, ,FSD2,fibronectin type III and SPRY domain containing 2,Other,other, 
 , ,Fshb, ,FSHB,follicle stimulating hormone beta subunit,Extracellular Space,other, 
 , ,Fshr, ,FSHR,follicle stimulating hormone receptor,Plasma Membrane,G-protein coupled receptor,"FSH, suramin, menotropin"
-0.662, ,Fsip1, ,FSIP1,fibrous sheath interacting protein 1,Other,other, 
2.246, ,Fsip2, ,FSIP2,fibrous sheath interacting protein 2,Cytoplasm,other, 
0.263,0.964,Fst, ,FST,follistatin,Extracellular Space,other, 
0.695,0.0901,Fstl1, ,FSTL1,follistatin like 1,Extracellular Space,other, 
0.615,0.879,Fstl3, ,FSTL3,follistatin like 3,Extracellular Space,other, 
0.598,0.7,Fstl4, ,FSTL4,follistatin like 4,Cytoplasm,other, 
0.459, ,Fstl5, ,FSTL5,follistatin like 5,Extracellular Space,other, 
0.459, ,Ftcd, ,FTCD,formimidoyltransferase cyclodeaminase,Cytoplasm,enzyme, 
0.033,0.98,Fth1, ,FTH1,ferritin heavy chain 1,Cytoplasm,enzyme, 
0.058,0.931,Ftl1, ,FTL,ferritin light chain,Cytoplasm,enzyme, 
-0.984, ,Ftmt, ,FTMT,ferritin mitochondrial,Cytoplasm,enzyme, 
0.061,0.948,Fto, ,FTO,"FTO, alpha-ketoglutarate dependent dioxygenase",Nucleus,enzyme, 
0.19,0.531,Ftsj1, ,FTSJ1,FtsJ RNA methyltransferase homolog 1,Cytoplasm,enzyme, 
0.015,0.983,Ftsj3, ,FTSJ3,FtsJ RNA methyltransferase homolog 3,Nucleus,enzyme, 
-0.074,0.885,Fubp1, ,FUBP1,far upstream element binding protein 1,Nucleus,transcription regulator, 
0.184,0.348,Fubp3, ,FUBP3,far upstream element binding protein 3,Nucleus,transcription regulator, 
0.122,0.777,Fuca1, ,FUCA1,alpha-L-fucosidase 1,Cytoplasm,enzyme, 
0.12,0.778,Fuca2, ,FUCA2,alpha-L-fucosidase 2,Extracellular Space,enzyme, 
-0.104,0.783,Fuk, ,FUK,fucokinase,Cytoplasm,kinase, 
0.047,0.964,Fundc1, ,FUNDC1,FUN14 domain containing 1,Cytoplasm,other, 
0.085,0.893,Fundc2, ,FUNDC2,FUN14 domain containing 2,Cytoplasm,other, 
0.218,0.755,Furin, ,FURIN,"furin, paired basic amino acid cleaving enzyme",Cytoplasm,peptidase,"hexa-D-arginine, furin inhibitor, nona-D-arginine amide"
-0.283,0.427,Fus, ,Fus,fused in sarcoma,Nucleus,transcription regulator, 
0.007,0.996,Fut1, ,FUT1,fucosyltransferase 1 (H blood group),Cytoplasm,enzyme, 
-0.358,0.965,Fut10, ,FUT10,fucosyltransferase 10,Cytoplasm,enzyme, 
-0.057,0.948,Fut11, ,FUT11,fucosyltransferase 11,Cytoplasm,enzyme, 
-0.301,0.834,Fut2, ,FUT2,fucosyltransferase 2,Cytoplasm,enzyme, 
-0.235,0.487,Fut4, ,FUT4,fucosyltransferase 4,Cytoplasm,enzyme, 
0.65,0.856,Fut7, ,FUT7,fucosyltransferase 7,Cytoplasm,enzyme, 
0.046,0.939,Fut8, ,FUT8,fucosyltransferase 8,Cytoplasm,enzyme, 
1.289, ,Fut9, ,FUT9,fucosyltransferase 9,Cytoplasm,enzyme, 
-0.289,0.272,Fuz, ,FUZ,fuzzy planar cell polarity protein,Plasma Membrane,other, 
-0.132,0.809,Fv1, ,Fv1,Friend virus susceptibility 1,Cytoplasm,other, 
0.338,0.343,Fxn, ,FXN,frataxin,Cytoplasm,kinase, 
0.037,0.96,Fxr1, ,FXR1,FMR1 autosomal homolog 1,Cytoplasm,other, 
-0.013,0.984,Fxr2, ,FXR2,FMR1 autosomal homolog 2,Cytoplasm,other, 
-2.297, ,Fxyd1, ,FXYD1,FXYD domain containing ion transport regulator 1,Plasma Membrane,ion channel, 
-0.48, ,Fxyd2, ,Fxyd2,FXYD domain-containing ion transport regulator 2,Plasma Membrane,other, 
-0.127,0.835,Fxyd3, ,FXYD3,FXYD domain containing ion transport regulator 3,Plasma Membrane,ion channel, 
-0.345,0.803,Fxyd4, ,FXYD4,FXYD domain containing ion transport regulator 4,Plasma Membrane,ion channel, 
0.652,0.634,Fxyd5, ,FXYD5,FXYD domain containing ion transport regulator 5,Plasma Membrane,ion channel, 
-0.241,0.832,Fxyd6, ,FXYD6,FXYD domain containing ion transport regulator 6,Plasma Membrane,ion channel, 
-0.263, ,Fxyd7, ,FXYD7,FXYD domain containing ion transport regulator 7,Plasma Membrane,ion channel, 
0.491,0.53,Fyb, ,FYB1,FYN binding protein 1,Nucleus,other, 
-0.102,0.826,Fyco1, ,FYCO1,FYVE and coiled-coil domain containing 1,Cytoplasm,other, 
0.005,0.997,Fyn, ,FYN,"FYN proto-oncogene, Src family tyrosine kinase",Plasma Membrane,kinase,"dasatinib, JNJ-26483327"
-0.061,0.942,Fyttd1, ,FYTTD1,forty-two-three domain containing 1,Nucleus,other, 
-0.127,0.858,Fzd1, ,FZD1,frizzled class receptor 1,Plasma Membrane,G-protein coupled receptor, 
1.361,0.588,Fzd10, ,FZD10,frizzled class receptor 10,Plasma Membrane,G-protein coupled receptor, 
0.609,0.0591,Fzd2, ,FZD2,frizzled class receptor 2,Plasma Membrane,G-protein coupled receptor, 
-0.102,0.982,Fzd3, ,FZD3,frizzled class receptor 3,Plasma Membrane,G-protein coupled receptor, 
-0.354,0.426,Fzd4, ,FZD4,frizzled class receptor 4,Plasma Membrane,G-protein coupled receptor, 
-0.026,0.964,Fzd5, ,FZD5,frizzled class receptor 5,Plasma Membrane,G-protein coupled receptor, 
-0.212,0.642,Fzd6, ,FZD6,frizzled class receptor 6,Plasma Membrane,G-protein coupled receptor, 
-0.043,0.953,Fzd7, ,FZD7,frizzled class receptor 7,Plasma Membrane,G-protein coupled receptor, 
-0.182,0.837,Fzd8, ,FZD8,frizzled class receptor 8,Plasma Membrane,G-protein coupled receptor, 
-0.285,0.6,Fzd9, ,FZD9,frizzled class receptor 9,Plasma Membrane,G-protein coupled receptor, 
-0.026,0.982,Fzr1, ,FZR1,fizzy and cell division cycle 20 related 1,Nucleus,kinase, 
0.747,0.876,G0s2, ,G0S2,G0/G1 switch 2,Cytoplasm,other, 
-0.061,0.923,G2e3, ,G2E3,G2/M-phase specific E3 ubiquitin protein ligase,Cytoplasm,enzyme, 
0.055,0.929,G3bp1, ,G3BP1,G3BP stress granule assembly factor 1,Nucleus,enzyme, 
0.081,0.835,G3bp2, ,G3BP2,G3BP stress granule assembly factor 2,Cytoplasm,enzyme, 
-0.424,0.913,G430095P16Rik, ,G430095P16Rik,RIKEN cDNA G430095P16 gene,Other,other, 
-0.685,0.692,G6pc, ,G6PC,glucose-6-phosphatase catalytic subunit,Cytoplasm,phosphatase, 
0.459, ,G6pc2, ,G6PC2,glucose-6-phosphatase catalytic subunit 2,Cytoplasm,phosphatase, 
0.101,0.846,G6pc3, ,G6PC3,glucose-6-phosphatase catalytic subunit 3,Cytoplasm,phosphatase, 
0.248,0.227,G6pdx, ,G6PD,glucose-6-phosphate dehydrogenase,Cytoplasm,enzyme, 
0.242,0.624,G6pd2, ,G6pd2,glucose-6-phosphate dehydrogenase 2,Other,enzyme, 
-0.029,0.975,Gaa, ,GAA,"glucosidase alpha, acid",Cytoplasm,enzyme,"miglitol, acarbose"
0.142,0.762,Gab1, ,GAB1,GRB2 associated binding protein 1,Cytoplasm,kinase, 
0.177,0.634,Gab2, ,GAB2,GRB2 associated binding protein 2,Cytoplasm,other, 
0.271,0.966,Gab3, ,GAB3,GRB2 associated binding protein 3,Other,other, 
0.127,0.778,Gabarap, ,GABARAP,GABA type A receptor-associated protein,Cytoplasm,transporter, 
-0.041,0.966,Gabarapl1, ,GABARAPL1,GABA type A receptor associated protein like 1,Cytoplasm,other, 
-0.001,0.998,Gabarapl2, ,GABARAPL2,GABA type A receptor associated protein like 2,Cytoplasm,other, 
-0.334,0.706,Gabbr1, ,GABBR1,gamma-aminobutyric acid type B receptor subunit 1,Plasma Membrane,G-protein coupled receptor,"arbaclofen placarbil, arbaclofen, baclofen, vigabatrin"
0.98,0.182,Gabbr2, ,GABBR2,gamma-aminobutyric acid type B receptor subunit 2,Plasma Membrane,G-protein coupled receptor,"arbaclofen placarbil, arbaclofen, baclofen"
0.039,0.953,Gabpa, ,GABPA,GA binding protein transcription factor alpha subunit,Nucleus,transcription regulator, 
0.087,0.881,Gabpb1, ,GABPB1,GA binding protein transcription factor beta subunit 1,Nucleus,transcription regulator, 
0.058,0.886,Gabpb2, ,GABPB2,GA binding protein transcription factor beta subunit 2,Nucleus,transcription regulator, 
-1.951,0.31,Gabra1, ,GABRA1,gamma-aminobutyric acid type A receptor alpha1 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, ethchlorvynol, alphadolone, SEP 174559, heptabarbital, zopiclone, glutethimide, clobazam, nitrazepam, phentermine/topiramate, caffeine/ethanol, adinazolam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, isoniazid, dexamethasone/olanzapine, felbamate, ethanol, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, estazolam, atropine/hyoscyamine/phenobarbital/scopolamine, clorazepate, acetaminophen/butalbital, eszopiclone, quazepam, mephobarbital, hyoscyamine/phenobarbital, amitriptyline/chlordiazepoxide, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, chlordiazepoxide, lorazepam, olanzapine, triazolam, flumazenil, clonazepam, flurazepam, midazolam, oxazepam, alprazolam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, propofol, ezogabine, acamprosate, desflurane, methoxyflurane, enflurane, topiramate, pregnenolone"
0.264, ,Gabra2, ,GABRA2,gamma-aminobutyric acid type A receptor alpha2 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, alphadolone, SEP 174559, heptabarbital, zopiclone, clobazam, nitrazepam, adinazolam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, dexamethasone/olanzapine, felbamate, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, estazolam, atropine/hyoscyamine/phenobarbital/scopolamine, clorazepate, acetaminophen/butalbital, eszopiclone, quazepam, mephobarbital, hyoscyamine/phenobarbital, amitriptyline/chlordiazepoxide, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, chlordiazepoxide, lorazepam, olanzapine, triazolam, clonazepam, flurazepam, midazolam, flunitrazepam, oxazepam, alprazolam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, ezogabine, desflurane, methoxyflurane, enflurane, pregnenolone"
2.323, ,Gabra3, ,GABRA3,gamma-aminobutyric acid type A receptor alpha3 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, alphadolone, SEP 174559, heptabarbital, zopiclone, clobazam, nitrazepam, adinazolam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, isoniazid, dexamethasone/olanzapine, felbamate, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, estazolam, atropine/hyoscyamine/phenobarbital/scopolamine, clorazepate, acetaminophen/butalbital, eszopiclone, quazepam, mephobarbital, hyoscyamine/phenobarbital, amitriptyline/chlordiazepoxide, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, chlordiazepoxide, lorazepam, olanzapine, triazolam, clonazepam, flurazepam, midazolam, flunitrazepam, oxazepam, alprazolam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, ezogabine, desflurane, methoxyflurane, enflurane, pregnenolone"
-0.486, ,Gabra4, ,GABRA4,gamma-aminobutyric acid type A receptor alpha4 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, alphadolone, SEP 174559, heptabarbital, clobazam, nitrazepam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, isoniazid, dexamethasone/olanzapine, felbamate, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, atropine/hyoscyamine/phenobarbital/scopolamine, acetaminophen/butalbital, eszopiclone, mephobarbital, hyoscyamine/phenobarbital, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, lorazepam, olanzapine, triazolam, clonazepam, flurazepam, midazolam, flunitrazepam, oxazepam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, ezogabine, desflurane, methoxyflurane, enflurane, pregnenolone"
 , ,Gabra5, ,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, alphadolone, SEP 174559, heptabarbital, zopiclone, clobazam, nitrazepam, adinazolam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, isoniazid, dexamethasone/olanzapine, felbamate, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, estazolam, atropine/hyoscyamine/phenobarbital/scopolamine, clorazepate, acetaminophen/butalbital, eszopiclone, quazepam, mephobarbital, hyoscyamine/phenobarbital, amitriptyline/chlordiazepoxide, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, chlordiazepoxide, lorazepam, olanzapine, triazolam, flumazenil, clonazepam, flurazepam, midazolam, flunitrazepam, oxazepam, alprazolam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, ezogabine, desflurane, methoxyflurane, enflurane, pregnenolone"
 , ,Gabra6, ,GABRA6,gamma-aminobutyric acid type A receptor alpha6 subunit,Plasma Membrane,ion channel,"methohexital, primidone, meprobamate, aspirin/butalbital/caffeine, aspirin/meprobamate, aspirin/butalbital/caffeine/codeine, hexobarbital, pagoclone, alphadolone, SEP 174559, heptabarbital, clobazam, nitrazepam, butobarbital, metyrapone/oxazepam, acetaminophen/butalbital/caffeine, sevoflurane, isoflurane, gaboxadol, isoniazid, dexamethasone/olanzapine, felbamate, etomidate, muscimol, halothane, fluoxetine/olanzapine, amobarbital, atropine/hyoscyamine/phenobarbital/scopolamine, acetaminophen/butalbital, eszopiclone, mephobarbital, hyoscyamine/phenobarbital, acetaminophen/butalbital/caffeine/codeine, butabarbital, diazepam, temazepam, zolpidem, lorazepam, olanzapine, triazolam, clonazepam, flurazepam, midazolam, flunitrazepam, oxazepam, zaleplon, thiamylal, secobarbital, barbital, butalbital, phenobarbital, pentobarbital, thiopental, ezogabine, desflurane, methoxyflurane, enflurane, pregnenolone"
