Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
3-phosphoinositide Degradation	3.14E-01	1.29E-02	NaN	INPP4B,PTPN13	
Necroptosis Signaling Pathway	3.09E-01	1.27E-02	NaN	TNF,ZBP1	
Aldosterone Signaling in Epithelial Cells	3.05E-01	1.27E-02	NaN	PLCL1,SCNN1G	
Gαq Signaling	3.05E-01	1.27E-02	NaN	AKT3,PLD5	
IL-17A Signaling in Airway Cells	3.05E-01	1.54E-02	NaN	AKT3	
Eicosanoid Signaling	2.99E-01	1.52E-02	NaN	ALOX15	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.92E-01	1.23E-02	NaN	KCNJ15,PLCL1	
IL-10 Signaling	2.87E-01	1.45E-02	NaN	TNF	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.87E-01	1.45E-02	NaN	SOCS1	
SPINK1 General Cancer Pathway	2.87E-01	1.45E-02	NaN	AKT3	
GM-CSF Signaling	2.82E-01	1.43E-02	NaN	AKT3	
CXCR4 Signaling	2.81E-01	1.2E-02	NaN	AKT3,MYL10	
Growth Hormone Signaling	2.78E-01	1.41E-02	NaN	SOCS1	
Small Cell Lung Cancer Signaling	2.78E-01	1.41E-02	NaN	AKT3	
Basal Cell Carcinoma Signaling	2.74E-01	1.39E-02	NaN	WNT7B	
Caveolar-mediated Endocytosis Signaling	2.7E-01	1.37E-02	NaN	HLA-A	
Non-Small Cell Lung Cancer Signaling	2.7E-01	1.37E-02	NaN	AKT3	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.7E-01	1.37E-02	NaN	PLCL1	
Estrogen-Dependent Breast Cancer Signaling	2.66E-01	1.35E-02	NaN	AKT3	
Hypoxia Signaling in the Cardiovascular System	2.66E-01	1.35E-02	NaN	UBE2L6	
IL-15 Signaling	2.62E-01	1.33E-02	NaN	AKT3	
Angiopoietin Signaling	2.62E-01	1.33E-02	NaN	AKT3	
PI3K/AKT Signaling	2.6E-01	1.14E-02	NaN	AKT3,IL12RB1	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	2.51E-01	1.28E-02	NaN	WNT7B	
Ephrin Receptor Signaling	2.48E-01	1.11E-02	NaN	AKT3,PTPN13	
IL-3 Signaling	2.47E-01	1.27E-02	NaN	AKT3	
Thyroid Cancer Signaling	2.47E-01	1.27E-02	NaN	AKT3	
FLT3 Signaling in Hematopoietic Progenitor Cells	2.44E-01	1.25E-02	NaN	AKT3	
Chemokine Signaling	2.44E-01	1.25E-02	NaN	CCL5	
NF-κB Activation by Viruses	2.37E-01	1.22E-02	NaN	AKT3	
PEDF Signaling	2.37E-01	1.22E-02	NaN	AKT3	
TR/RXR Activation	2.31E-01	1.19E-02	NaN	AKT3	
HER-2 Signaling in Breast Cancer	2.31E-01	1.19E-02	NaN	AKT3	
FGF Signaling	2.31E-01	1.19E-02	NaN	AKT3	
Synaptic Long Term Depression	2.28E-01	1.06E-02	NaN	NOS2,PLCL1	
HIPPO signaling	2.28E-01	1.18E-02	NaN	TEAD4	
RANK Signaling in Osteoclasts	2.18E-01	1.14E-02	NaN	AKT3	
Acute Myeloid Leukemia Signaling	2.15E-01	1.12E-02	NaN	AKT3	
Prostate Cancer Signaling	2.1E-01	1.1E-02	NaN	AKT3	
Regulation of Actin-based Motility by Rho	2.01E-01	1.06E-02	NaN	MYL10	
CCR5 Signaling in Macrophages	2.01E-01	1.06E-02	NaN	CCL5	
GABA Receptor Signaling	1.99E-01	1.05E-02	NaN	UBD	
Neuregulin Signaling	-0E00	1.04E-02	NaN	AKT3	
Leukocyte Extravasation Signaling	-0E00	1.02E-02	NaN	CLDN8,ICAM1	
Synaptic Long Term Potentiation	-0E00	7.75E-03	NaN	PLCL1	
Amyotrophic Lateral Sclerosis Signaling	-0E00	1.03E-02	NaN	AKT3	
Actin Cytoskeleton Signaling	-0E00	9.17E-03	NaN	MYL10,MYLK3	
Huntington's Disease Signaling	-0E00	8.44E-03	NaN	AKT3,UBD	
Aryl Hydrocarbon Receptor Signaling	-0E00	6.99E-03	NaN	TNF	
Clathrin-mediated Endocytosis Signaling	-0E00	5.18E-03	NaN	UBD	
Virus Entry via Endocytic Pathways	-0E00	9.35E-03	NaN	HLA-A	
Reelin Signaling in Neurons	-0E00	7.75E-03	NaN	AKT3	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	9.9E-03	NaN	PLCL1	
Cardiac Hypertrophy Signaling	-0E00	8.33E-03	NaN	MYL10,PLCL1	
Molecular Mechanisms of Cancer	-0E00	7.67E-03	NaN	AKT3,DHH,WNT7B	
Corticotropin Releasing Hormone Signaling	-0E00	6.9E-03	NaN	NOS2	
HGF Signaling	-0E00	9.01E-03	NaN	AKT3	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	8.4E-03	NaN	TNF	
CREB Signaling in Neurons	-0E00	9.66E-03	NaN	AKT3,PLCL1	
Glioma Signaling	-0E00	9.09E-03	NaN	AKT3	
Chronic Myeloid Leukemia Signaling	-0E00	9.71E-03	NaN	AKT3	
mTOR Signaling	-0E00	9.52E-03	NaN	AKT3,PLD5	
G Beta Gamma Signaling	-0E00	8.2E-03	NaN	AKT3	
EIF2 Signaling	-0E00	4.46E-03	NaN	AKT3	
AMPK Signaling	-0E00	4.67E-03	NaN	AKT3	
Phospholipase C Signaling	-0E00	7.78E-03	NaN	MYL10,PLD5	
Regulation of eIF4 and p70S6K Signaling	-0E00	6.37E-03	NaN	AKT3	
Role of NFAT in Cardiac Hypertrophy	-0E00	9.35E-03	NaN	AKT3,PLCL1	
Breast Cancer Regulation by Stathmin1	-0E00	6.77E-03	NaN	CCRL2,GPR22,TUBA8,TUBB3	
Role of Tissue Factor in Cancer	-0E00	8.55E-03	NaN	AKT3	
NGF Signaling	-0E00	8.77E-03	NaN	AKT3	
Telomerase Signaling	-0E00	9.35E-03	NaN	AKT3	
Mouse Embryonic Stem Cell Pluripotency	-0E00	9.71E-03	NaN	AKT3	
D-myo-inositol-5-phosphate Metabolism	-0E00	6.41E-03	NaN	PTPN13	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	7.09E-03	NaN	PTPN13	
Superpathway of Inositol Phosphate Compounds	-0E00	5.05E-03	NaN	PTPN13	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	7.09E-03	NaN	PTPN13	
3-phosphoinositide Biosynthesis	-0E00	6.06E-03	NaN	PTPN13	
Sperm Motility	-0E00	8.97E-03	NaN	FLT4,PLCL1	
Tec Kinase Signaling	-0E00	6.1E-03	NaN	TNF	
Adipogenesis pathway	-0E00	7.46E-03	NaN	TNF	
B Cell Receptor Signaling	-0E00	5.41E-03	NaN	AKT3	
Integrin Signaling	-0E00	9.39E-03	NaN	AKT3,MYLK3	
PPAR Signaling	-0E00	9.62E-03	NaN	TNF	
p38 MAPK Signaling	-0E00	8.47E-03	NaN	TNF	
TGF-β Signaling	-0E00	1.04E-02	NaN	IRF7	
Apoptosis Signaling	-0E00	1.01E-02	NaN	TNF	
G-Protein Coupled Receptor Signaling	-0E00	3.68E-03	NaN	AKT3	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	8.93E-03	NaN	PLCL1	
Gustation Pathway	-0E00	6.49E-03	NaN	SCNN1G	
Phagosome Formation	-0E00	8E-03	NaN	PLCL1	
GP6 Signaling Pathway	-0E00	8.4E-03	NaN	AKT3	
Opioid Signaling Pathway	-0E00	4.05E-03	NaN	AKT3	
Iron homeostasis signaling pathway	-0E00	7.3E-03	NaN	TMPRSS6	
Endocannabinoid Neuronal Synapse Pathway	-0E00	7.81E-03	NaN	PLCL1	
Endocannabinoid Developing Neuron Pathway	-0E00	8.7E-03	NaN	AKT3	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	1.03E-02	1.342	AKT3,IL12RB1,PLCL1,TNF,WNT7B	
Senescence Pathway	-0E00	3.64E-03	NaN	AKT3	
