Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Protein Kinase A Signaling	1,61E00	6,02E-02	0,626	PRKACB,PTPN7,PTPN14,ITPR2,GNG2,MYLK3,PYGB,PTPRF,NFATC1,PTPRC,PDE8A,ADCY9,PDE1B,ADCY1,RYR1,PRKCH,DUSP12,PDE11A,ADCY8,PTPRN,PRKD3,ADCY7,PTPN22,CAMK2B
IL-1 Signaling	1,59E00	8,79E-02	NaN	PRKACB,ADCY9,MYD88,ADCY1,GNAO1,GNG2,ADCY8,ADCY7
Sphingosine-1-phosphate Signaling	1,59E00	7,94E-02	0,632	ADCY9,IRS1,PIK3C3,ADCY1,AKT3,CASP4,ADCY8,RHOH,ADCY7,PDGFB
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1,57E00	8,7E-02	2,121	FYN,WAS,LYN,AKT3,PRKCH,PRKD3,LCP2,ACTA1
Sperm Motility	1,55E00	7,81E-02	0,333	PLA2G16,PRKACB,PLA2G2F,ITPR2,PLA2G10,PDE1B,PLA2G5,CACNA1H,PRKCH,PRKD3
Toll-like Receptor Signaling	1,54E00	9,21E-02	NaN	UBD,TLR2,MYD88,TLR6,TLR1,CD14,TRAF1
ERK/MAPK Signaling	1,52E00	6,83E-02	1,604	ETS1,PRKACB,FYN,MYCN,PLA2G2F,IRS1,PIK3C3,PLA2G10,PLA2G5,ITGA5,STAT1,ELK3,NFATC1,ITGA4
Synaptic Long Term Depression	1,51E00	6,99E-02	-0,832	PLA2G16,PLA2G2F,CACNA1B,ITPR2,PLA2G10,PLA2G5,GNAO1,LYN,CACNA1H,PRKCH,RYR1,PRKD3,CACNA1A
Natural Killer Cell Signaling	1,51E00	7,69E-02	NaN	FYN,LCK,IRS1,PIK3C3,LAT,ZAP70,AKT3,PRKCH,PRKD3,LCP2
PCP pathway	1,51E00	9,84E-02	-1,633	ROR2,WNT3,WNT4,FZD1,WNT11,WNT5A
Calcium Signaling	1,5E00	6,8E-02	-0,632	PRKACB,TNNT1,ITPR2,CACNA1H,TRPC4,NFATC1,CACNA1A,TRPC7,CACNA1B,RYR1,SLC8A1,ATP2B4,ACTA1,CAMK2B
Ephrin A Signaling	1,48E00	9,68E-02	NaN	FYN,IRS1,EPHA1,PIK3C3,EFNA3,EFNA4
HER-2 Signaling in Breast Cancer	1,47E00	8,33E-02	NaN	ITGB2,IRS1,PIK3C3,AKT3,PRKCH,PRKD3,ITGB7,ITGB3
Role of MAPK Signaling in the Pathogenesis of Influenza	1,46E00	8,86E-02	NaN	PLA2G16,IFNG,PLA2G2F,PLA2G10,PLA2G5,AKT3,CCL5
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1,46E00	1,25E-01	NaN	CD3G,PRF1,CD3E,HLA-A
Glioblastoma Multiforme Signaling	1,46E00	7,06E-02	-1,155	IGF2,WNT3,ITPR2,IRS1,PIK3C3,AKT3,WNT4,FZD1,RHOH,WNT11,PDGFB,WNT5A
Nitric Oxide Signaling in the Cardiovascular System	1,44E00	7,83E-02	0,333	PRKACB,ITPR2,IRS1,PIK3C3,PDE1B,AKT3,PRKCH,PRKD3,CACNA1A
Apelin Adipocyte Signaling Pathway	1,44E00	8,75E-02	-0,378	PRKACB,GSTM1,ADCY9,ADCY1,ADCY8,ADCY7,NOX1
Actin Cytoskeleton Signaling	1,42E00	6,49E-02	1,897	FGF16,ARHGEF4,F2R,ACTN2,MYLK3,ITGA5,PDGFB,CYFIP2,WAS,PIK3C3,IRS1,CD14,ACTA1,ITGA4,MSN
Glutamate Removal from Folates	1,41E00	1E00	NaN	GGH
Type II Diabetes Mellitus Signaling	1,39E00	7,1E-02	1,633	ACSBG1,CACNA1B,IRS1,PIK3C3,ACSL6,CACNA1H,AKT3,PRKCH,TNFRSF1B,PRKD3,CACNA1A
Netrin Signaling	1,39E00	9,23E-02	NaN	PRKACB,CACNA1B,CACNA1H,RYR1,NFATC1,CACNA1A
Hematopoiesis from Pluripotent Stem Cells	1,38E00	1,02E-01	NaN	CD3G,CD3E,CD4,CD8A,IL7
RhoGDI Signaling	1,38E00	6,86E-02	-0,632	ARHGEF4,ARHGDIG,GNAO1,GNG2,ITGA5,RHOH,ARHGEF10,ARHGEF9,ACTA1,ARHGDIB,MSN,ITGA4
Regulation of the Epithelial-Mesenchymal Transition Pathway	1,34E00	6,6E-02	NaN	ETS1,FGF16,JAG2,WNT3,IRS1,PIK3C3,WNT4,AKT3,FGFRL1,FZD1,JAK3,WNT11,WNT5A
Pathogenesis of Multiple Sclerosis	1,34E00	2,22E-01	NaN	CXCR3,CCL5
Citrulline Biosynthesis	1,34E00	2,22E-01	NaN	OAT,GLS
LXR/RXR Activation	1,33E00	7,44E-02	-1,414	C4A/C4B,LYZ,TTR,CD14,SERPINA1,NCOR2,TNFRSF1B,AGT,IL18RAP
Eicosanoid Signaling	1,31E00	8,82E-02	0,000	PLA2G16,ALOX15,PLA2G2F,PLA2G10,PLA2G5,CYSLTR2
Growth Hormone Signaling	1,3E00	8,14E-02	0,000	IGF2,GHR,PIK3C3,IRS1,PRKCH,STAT1,PRKD3
Polyamine Regulation in Colon Cancer	1,28E00	1,36E-01	NaN	PSME1,PSME2,SAT2
G-Protein Coupled Receptor Signaling	1,28E00	6,01E-02	NaN	PRKACB,FYN,PDE8A,ADCY9,SYNGAP1,PIK3C3,GLP1R,RASGRP1,IRS1,ADCY1,PDE1B,GNAO1,AKT3,PDE11A,ADCY8,ADCY7,CAMK2B
CDK5 Signaling	1,28E00	7,62E-02	-1,414	PRKACB,LAMC1,LAMA5,ADCY9,ADCY1,ADCY8,ADCY7,CACNA1A
Melanocyte Development and Pigmentation Signaling	1,28E00	7,62E-02	-0,378	PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,DCT,ADCY8,ADCY7
FcγRIIB Signaling in B Lymphocytes	1,27E00	8,05E-02	0,000	CACNA1B,PIK3C3,IRS1,CACNA1H,LYN,DOK1,CACNA1A
Sertoli Cell-Sertoli Cell Junction Signaling	1,26E00	6,56E-02	NaN	PRKACB,CLDN4,WAS,TGFBR3,MYO7A,ACTN2,MAP3K13,AKT3,ITGA5,CLDN6,ACTA1,ITGA4
FAK Signaling	1,24E00	7,48E-02	NaN	FYN,WAS,IRS1,PIK3C3,AKT3,ITGA5,ACTA1,ITGA4
Gαs Signaling	1,24E00	7,48E-02	0,707	PRKACB,ADCY9,GLP1R,ADCY1,GNG2,RYR1,ADCY8,ADCY7
Putrescine Degradation III	1,23E00	1,3E-01	NaN	MAOB,SAT2,ALDH7A1
Docosahexaenoic Acid (DHA) Signaling	1,23E00	9,26E-02	NaN	ALOX15,IRS1,PIK3C3,AKT3,BCL2A1
Triacylglycerol Degradation	1,23E00	9,26E-02	-2,236	FAAH,PNLIPRP2,PPME1,PNLIPRP1,MGLL
PPARα/RXRα Activation	1,22E00	6,45E-02	0,000	PRKACB,ADCY9,GHR,TGFBR3,IRS1,ADCY1,NCOR2,ADCY8,ACVR1C,ADCY7,IL18RAP,CYP2C8
Melatonin Signaling	1,21E00	8,33E-02	0,816	PRKACB,RORA,GNAO1,PRKCH,PRKD3,CAMK2B
IL-3 Signaling	1,21E00	7,78E-02	0,378	IL3RA,PIK3C3,IRS1,AKT3,PRKCH,STAT1,PRKD3
Prolactin Signaling	1,19E00	7,69E-02	1,134	FYN,IRS1,PIK3C3,PRKCH,STAT1,PRKD3,IRF1
JAK/Stat Signaling	1,19E00	7,69E-02	1,890	STAT4,IRS1,PIK3C3,CISH,AKT3,JAK3,STAT1
Th17 Activation Pathway	1,19E00	7,69E-02	2,646	STAT4,IFNG,RORA,MYD88,IL12RB1,JAK3,NFATC1
fMLP Signaling in Neutrophils	1,18E00	6,98E-02	1,000	WAS,ITPR2,IRS1,PIK3C3,GNG2,PRKCH,PRKD3,NOX1,NFATC1
Pentose Phosphate Pathway	1,18E00	1,82E-01	NaN	G6PD,RPIA
Glucocorticoid Biosynthesis	1,18E00	1,82E-01	NaN	CYP17A1,HSD3B1
Signaling by Rho Family GTPases	1,16E00	5,95E-02	1,387	ARHGEF4,GNG2,ITGA5,SEPT1,RHOH,NOX1,WAS,PIK3C3,IRS1,GNAO1,ARHGEF10,ARHGEF9,ACTA1,ITGA4,MSN
Cellular Effects of Sildenafil (Viagra)	1,15E00	6,87E-02	NaN	PRKACB,ADCY9,ITPR2,ADCY1,PDE1B,ADCY8,ADCY7,ACTA1,CACNA1A
Death Receptor Signaling	1,15E00	7,53E-02	1,890	TNFRSF21,Naip1 (includes others),TNFSF10,PARP3,TNFRSF1B,ACTA1,ARHGDIB
SAPK/JNK Signaling	1,15E00	7,14E-02	1,134	SH2D2A,LCK,MAP3K13,IRS1,PIK3C3,GNG2,MAPK8IP2,NFATC1
Role of Tissue Factor in Cancer	1,13E00	6,82E-02	NaN	FYN,PDIA2,LCK,IRS1,PIK3C3,LYN,AKT3,CYR61,ITGB3
nNOS Signaling in Skeletal Muscle Cells	1,13E00	9,76E-02	NaN	CACNA1B,CACNA1H,RYR1,CACNA1A
β-alanine Degradation I	1,12E00	5E-01	NaN	ABAT
Choline Degradation I	1,12E00	5E-01	NaN	ALDH7A1
Alanine Degradation III	1,12E00	5E-01	NaN	GPT2
Alanine Biosynthesis II	1,12E00	5E-01	NaN	GPT2
Sulfate Activation for Sulfonation	1,12E00	5E-01	NaN	PAPSS1
Anandamide Degradation	1,12E00	5E-01	NaN	FAAH
Cysteine Biosynthesis/Homocysteine Degradation	1,12E00	5E-01	NaN	CBS/CBSL
Glutamine Degradation I	1,12E00	5E-01	NaN	GLS
Glutamate Dependent Acid Resistance	1,12E00	5E-01	NaN	GAD2
Pregnenolone Biosynthesis	1,11E00	1,67E-01	NaN	MICAL2,MICAL3
eNOS Signaling	1,1E00	6,32E-02	0,000	PRKACB,ADCY9,ITPR2,IRS1,PIK3C3,ADCY1,AKT3,PRKCH,ADCY8,PRKD3,ADCY7
Apelin Liver Signaling Pathway	1,1E00	1,15E-01	NaN	IRS1,COL18A1,AGT
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	1,1E00	7,79E-02	-1,342	IFNG,WNT3,WNT4,FZD1,WNT11,WNT5A
Sumoylation Pathway	1,09E00	7,29E-02	-1,134	ETS1,AR,DNMT3A,ARHGDIG,CBX4,RHOH,ARHGDIB
PI3K Signaling in B Lymphocytes	1,09E00	6,67E-02	1,414	PTPRC,FYN,IL4R,ITPR2,IRS1,LYN,AKT3,NFATC1,CAMK2B
Glioma Invasiveness Signaling	1,08E00	7,69E-02	1,633	TIMP3,F2R,IRS1,PIK3C3,RHOH,ITGB3
Androgen Signaling	1,07E00	6,62E-02	-0,378	PRKACB,AR,CACNA1B,GNAO1,GNG2,CACNA1H,PRKCH,PRKD3,CACNA1A
CCR3 Signaling in Eosinophils	1,06E00	6,57E-02	-0,378	PLA2G2F,ITPR2,PLA2G10,IRS1,PIK3C3,GNG2,PLA2G5,PRKCH,PRKD3
Fatty Acid Activation	1,05E00	1,54E-01	NaN	ACSBG1,ACSL6
Endocannabinoid Cancer Inhibition Pathway	1,04E00	6,33E-02	0,000	PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,GNAO1,AKT3,CASP4,ADCY8,ADCY7
IL-15 Production	1,03E00	1,07E-01	NaN	STAT1,JAK3,IRF1
CD40 Signaling	1,02E00	7,41E-02	1,633	CD40LG,ICAM1,IRS1,PIK3C3,JAK3,TRAF1
p70S6K Signaling	1,01E00	6,43E-02	1,000	IL4R,F2R,IRS1,PIK3C3,LYN,AKT3,PRKCH,PRKD3,AGT
Androgen Biosynthesis	9,96E-01	1,43E-01	NaN	CYP17A1,HSD3B1
D-myo-inositol-5-phosphate Metabolism	9,91E-01	6,17E-02	-0,632	PTPRC,TNS3,PTPN7,NUDT11,DUSP23,DUSP12,PTPRN,PIP4K2A,PTPN22,PTPRF
IL-8 Signaling	9,87E-01	5,88E-02	2,309	ITGB2,ITGAM,ICAM1,IRS1,PIK3C3,GNG2,AKT3,PRKCH,RHOH,PRKD3,NOX1,ITGB3
Glioma Signaling	9,83E-01	6,56E-02	-0,707	IGF2,IRS1,PIK3C3,AKT3,PRKCH,PRKD3,PDGFB,CAMK2B
PXR/RXR Activation	9,63E-01	7,69E-02	NaN	PRKACB,GSTM1,AKT3,CYP2C8,ABCB9
TNFR2 Signaling	9,59E-01	1E-01	NaN	Naip1 (includes others),TNFRSF1B,TRAF1
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	9,55E-01	6,25E-02	-1,000	PTPRC,TNS3,PTPN7,NUDT11,DUSP23,DUSP12,PTPRN,PTPN22,PTPRF
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	9,55E-01	6,25E-02	-1,000	PTPRC,TNS3,PTPN7,NUDT11,DUSP23,DUSP12,PTPRN,PTPN22,PTPRF
Tetrahydrobiopterin Biosynthesis I	9,51E-01	3,33E-01	NaN	PTS
4-hydroxyproline Degradation I	9,51E-01	3,33E-01	NaN	HOGA1
Tetrahydrobiopterin Biosynthesis II	9,51E-01	3,33E-01	NaN	PTS
4-aminobutyrate Degradation I	9,51E-01	3,33E-01	NaN	ABAT
Superpathway of Citrulline Metabolism	9,43E-01	1,33E-01	NaN	OAT,GLS
Histidine Degradation VI	9,43E-01	1,33E-01	NaN	MICAL2,MICAL3
Gap Junction Signaling	9,39E-01	5,77E-02	NaN	PRKACB,ADCY9,ITPR2,IRS1,PIK3C3,ADCY1,AKT3,PRKCH,ADCY8,ADCY7,PRKD3,ACTA1
Huntington's Disease Signaling	9,28E-01	5,56E-02	-0,302	DNM1,UBD,PSME1,CACNA1B,IRS1,PIK3C3,GLS,GNG2,PSME2,AKT3,PRKCH,CASP4,NCOR2,PRKD3
Vitamin-C Transport	8,96E-01	1,25E-01	NaN	SLC23A2,SLC2A3
Lymphotoxin β Receptor Signaling	8,83E-01	7,25E-02	1,342	IRS1,PIK3C3,AKT3,TNFSF14,TRAF1
Circadian Rhythm Signaling	8,66E-01	9,09E-02	NaN	PER3,BHLHE40,PER2
Ovarian Cancer Signaling	8,66E-01	5,96E-02	1,000	PRKACB,WNT3,IRS1,PIK3C3,AKT3,WNT4,FZD1,WNT11,WNT5A
EGF Signaling	8,63E-01	7,14E-02	0,447	ITPR2,IRS1,PIK3C3,AKT3,STAT1
B Cell Receptor Signaling	8,6E-01	5,67E-02	0,632	PTPRC,ETS1,APBB1IP,IRS1,MAP3K13,PIK3C3,LYN,AKT3,BCL2A1,NFATC1,CAMK2B
Renal Cell Carcinoma Signaling	8,57E-01	6,67E-02	1,000	ETS1,UBD,IRS1,PIK3C3,AKT3,PDGFB
γ-linolenate Biosynthesis II (Animals)	8,51E-01	1,18E-01	NaN	ACSBG1,ACSL6
Mitochondrial L-carnitine Shuttle Pathway	8,51E-01	1,18E-01	NaN	ACSBG1,ACSL6
Role of JAK2 in Hormone-like Cytokine Signaling	8,36E-01	8,82E-02	NaN	GHR,IRS1,STAT1
Pentose Phosphate Pathway (Oxidative Branch)	8,33E-01	2,5E-01	NaN	G6PD
Spermine and Spermidine Degradation I	8,33E-01	2,5E-01	NaN	SAT2
Methylmalonyl Pathway	8,33E-01	2,5E-01	NaN	PCCB
Glutathione Redox Reactions II	8,33E-01	2,5E-01	NaN	GSR
Melatonin Degradation II	8,33E-01	2,5E-01	NaN	MAOB
Arginine Degradation I (Arginase Pathway)	8,33E-01	2,5E-01	NaN	OAT
Thrombopoietin Signaling	8,27E-01	6,94E-02	0,447	IRS1,PIK3C3,PRKCH,STAT1,PRKD3
IL-2 Signaling	8,27E-01	6,94E-02	1,342	LCK,IRS1,PIK3C3,AKT3,JAK3
Cardiac Hypertrophy Signaling	8,15E-01	5,37E-02	0,000	PRKACB,MAPKAPK3,MAP3K13,GNG2,RHOH,CACNA1A,ADCY9,PIK3C3,IRS1,GNAO1,ADCY1,ADCY8,ADCY7
Ubiquinol-10 Biosynthesis (Eukaryotic)	8,12E-01	1,11E-01	NaN	MICAL2,MICAL3
Apelin Muscle Signaling Pathway	8,12E-01	1,11E-01	NaN	TFAM,AKT3
Neuregulin Signaling	8,1E-01	6,45E-02	0,000	AKT3,ITGA5,NRG4,PRKCH,PRKD3,ITGA4
Coagulation System	8,1E-01	8,57E-02	NaN	F2R,SERPINA1,TFPI
3-phosphoinositide Degradation	7,83E-01	5,7E-02	-1,000	PTPRC,TNS3,PTPN7,NUDT11,DUSP23,DUSP12,PTPRN,PTPN22,PTPRF
Neuropathic Pain Signaling In Dorsal Horn Neurons	7,62E-01	5,98E-02	-0,378	PRKACB,ITPR2,IRS1,PIK3C3,PRKCH,PRKD3,CAMK2B
cAMP-mediated signaling	7,5E-01	5,29E-02	-0,577	PDE8A,PRKACB,ADCY9,GLP1R,ADCY1,GNAO1,PDE1B,PKIA,PDE11A,ADCY8,ADCY7,CAMK2B
p38 MAPK Signaling	7,5E-01	5,93E-02	1,134	MAPKAPK3,PLA2G2F,PLA2G10,PLA2G5,STAT1,TNFRSF1B,IL18RAP
Lysine Degradation II	7,45E-01	2E-01	NaN	ALDH7A1
2-oxobutanoate Degradation I	7,45E-01	2E-01	NaN	PCCB
Galactose Degradation I (Leloir Pathway)	7,45E-01	2E-01	NaN	GALK1
Tyrosine Degradation I	7,45E-01	2E-01	NaN	FAH
Granzyme A Signaling	7,4E-01	1E-01	NaN	GZMA,PRF1
Telomerase Signaling	7,38E-01	5,88E-02	0,816	ETS1,IRS1,PIK3C3,TERT,AKT3,ELK3,TERF1
Gαq Signaling	7,38E-01	5,56E-02	1,000	ITPR2,IRS1,PIK3C3,GNG2,AKT3,PRKCH,RHOH,PRKD3,NFATC1
Notch Signaling	7,35E-01	7,89E-02	NaN	JAG2,DTX1,DLL3
HMGB1 Signaling	7,3E-01	5,67E-02	2,121	IFNG,ICAM1,HAT1,IRS1,PIK3C3,AKT3,TNFRSF1B,RHOH
Adrenomedullin signaling pathway	7,3E-01	5,31E-02	-0,632	PRKACB,ADCY9,ITPR2,IRS1,PIK3C3,ADCY1,SHC2,MYLK3,AKT3,ADCY8,ADCY7
Dopamine-DARPP32 Feedback in cAMP Signaling	7,28E-01	5,52E-02	-1,000	PRKACB,ADCY9,ITPR2,ADCY1,PRKCH,ADCY8,PRKD3,ADCY7,CACNA1A
Inhibition of Matrix Metalloproteases	7,12E-01	7,69E-02	NaN	TIMP3,MMP28,LRP1
Glucocorticoid Receptor Signaling	7,01E-01	4,9E-02	NaN	PRKACB,IFNG,ICAM1,CD3E,PCK1,CCL5,NFATC1,CD3G,AR,PIK3C3,IRS1,AKT3,NCOR2,JAK3,STAT1,KRT15,AGT
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	6,95E-01	6,25E-02	1,342	IFNG,IRS1,PIK3C3,AKT3,CCL5
ErbB4 Signaling	6,95E-01	6,25E-02	-0,447	IRS1,PIK3C3,NRG4,PRKCH,PRKD3
Oncostatin M Signaling	6,9E-01	7,5E-02	NaN	TIMP3,STAT1,JAK3
RhoA Signaling	6,88E-01	5,69E-02	2,000	NRP2,EPHA1,MYLK3,SEMA3F,SEPT1,ACTA1,MSN
PTEN Signaling	6,88E-01	5,69E-02	-1,134	GHR,TGFBR3,AKT3,ITGA5,CNKSR3,BCL2L11,ITGA4
SPINK1 Pancreatic Cancer Pathway	6,86E-01	6,67E-02	1,000	CLPS,CELA1,KLK3,CPM
RAR Activation	6,8E-01	5,26E-02	NaN	PRKACB,ADCY9,IL3RA,ADCY1,AKT3,PRKCH,NCOR2,ADCY8,ADCY7,PRKD3
Arginine Biosynthesis IV	6,74E-01	1,67E-01	NaN	OAT
Proline Biosynthesis II (from Arginine)	6,74E-01	1,67E-01	NaN	OAT
Chondroitin and Dermatan Biosynthesis	6,74E-01	1,67E-01	NaN	CHPF
Arginine Degradation VI (Arginase 2 Pathway)	6,74E-01	1,67E-01	NaN	OAT
Glycine Cleavage Complex	6,74E-01	1,67E-01	NaN	AMT
Glycogen Biosynthesis II (from UDP-D-Glucose)	6,74E-01	1,67E-01	NaN	GBE1
Lactose Degradation III	6,74E-01	1,67E-01	NaN	GLB1
Role of PKR in Interferon Induction and Antiviral Response	6,7E-01	7,32E-02	NaN	IFNG,STAT1,IRF1
Mechanisms of Viral Exit from Host Cells	6,7E-01	7,32E-02	NaN	PRKCH,PRKD3,ACTA1
Estrogen Biosynthesis	6,7E-01	7,32E-02	NaN	HSD17B13,CYP2J2,CYP2C8
BMP signaling pathway	6,66E-01	6,1E-02	0,000	PRKACB,MAGED1,RUNX2,BMP3,BMP7
SPINK1 General Cancer Pathway	6,66E-01	6,1E-02	0,447	GZMA,IRS1,PIK3C3,AKT3,JAK3
Synaptic Long Term Potentiation	6,54E-01	5,56E-02	-1,134	PRKACB,ITPR2,ADCY1,PRKCH,ADCY8,PRKD3,CAMK2B
FXR/RXR Activation	6,54E-01	5,56E-02	NaN	C4A/C4B,TTR,AKT3,SERPINA1,VLDLR,FOXA3,AGT
Retinoic acid Mediated Apoptosis Signaling	6,54E-01	6,45E-02	2,000	IFNG,TNFSF10,PARP3,IRF1
Actin Nucleation by ARP-WASP Complex	6,54E-01	6,45E-02	2,000	WAS,ITGA5,RHOH,ITGA4
tRNA Splicing	6,5E-01	7,14E-02	NaN	PDE8A,PDE1B,PDE11A
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	6,46E-01	8,7E-02	NaN	IFNG,CCL5
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	6,46E-01	8,7E-02	NaN	AK1,PCK1
IL-15 Signaling	6,38E-01	5,95E-02	NaN	LCK,IRS1,PIK3C3,AKT3,JAK3
GDNF Family Ligand-Receptor Interactions	6,38E-01	5,95E-02	0,000	NRTN,ITPR2,IRS1,PIK3C3,DOK1
Phospholipases	6,36E-01	6,35E-02	0,000	PLA2G16,PLA2G2F,PLA2G10,PLA2G5
Regulation of Cellular Mechanics by Calpain Protease	6,36E-01	6,35E-02	NaN	ACTN2,ITGA5,CAST,ITGA4
IL-22 Signaling	6,2E-01	8,33E-02	NaN	AKT3,STAT1
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	6,2E-01	8,33E-02	NaN	IFNG,STAT1
Glutathione Redox Reactions I	6,2E-01	8,33E-02	NaN	GSR,GSTM1
ILK Signaling	6,18E-01	5,08E-02	1,897	ITGB2,ACTN2,IRS1,PIK3C3,AKT3,RSU1,RHOH,ACTA1,ITGB7,ITGB3
Pentose Phosphate Pathway (Non-oxidative Branch)	6,14E-01	1,43E-01	NaN	RPIA
Phosphatidylcholine Biosynthesis I	6,14E-01	1,43E-01	NaN	CHPT1
Angiopoietin Signaling	6,11E-01	5,81E-02	NaN	GRB14,IRS1,PIK3C3,AKT3,BIRC5
Pyrimidine Ribonucleotides Interconversion	6,11E-01	6,82E-02	NaN	SLC25A42,AK1,PCK1
Acute Phase Response Signaling	6,02E-01	5,11E-02	0,816	C4A/C4B,C1R,TTR,MYD88,AKT3,SERPINA1,TNFRSF1B,C2,AGT
PAK Signaling	5,99E-01	5,5E-02	0,447	ARHGAP10,IRS1,PIK3C3,ITGA5,PDGFB,ITGA4
Estrogen-Dependent Breast Cancer Signaling	5,99E-01	5,75E-02	NaN	HSD17B13,IRS1,PIK3C3,TERT,AKT3
Antioxidant Action of Vitamin C	5,99E-01	5,5E-02	0,000	PLA2G16,SLC23A2,PLA2G2F,PLA2G10,PLA2G5,SLC2A3
LPS/IL-1 Mediated Inhibition of RXR Function	5,93E-01	4,93E-02	1,633	GSTM1,MAOB,ACSBG1,MYD88,ACSL6,CD14,TNFRSF1B,IL18RAP,ALDH7A1,CYP2C8,ABCB9
Bupropion Degradation	5,93E-01	8E-02	NaN	CYP2J2,CYP2C8
Tryptophan Degradation X (Mammalian, via Tryptamine)	5,93E-01	8E-02	NaN	MAOB,ALDH7A1
Role of p14/p19ARF in Tumor Suppression	5,92E-01	6,67E-02	NaN	NPM1,IRS1,PIK3C3
Erythropoietin Signaling	5,87E-01	5,68E-02	NaN	IRS1,PIK3C3,AKT3,PRKCH,PRKD3
Protein Ubiquitination Pathway	5,83E-01	4,8E-02	NaN	IFNG,PSMD7,HLA-A,PSME2,PSMB8,PSMA1,TAP1,UBD,PSME1,Dnajb3,PSMA5,PSMA4,TAP2
VEGF Signaling	5,77E-01	5,41E-02	1,633	SH2D2A,ACTN2,IRS1,PIK3C3,AKT3,ACTA1
Pyrimidine Ribonucleotides De Novo Biosynthesis	5,75E-01	6,52E-02	NaN	SLC25A42,AK1,PCK1
Regulation of Actin-based Motility by Rho	5,73E-01	5,62E-02	2,236	WAS,ITGA5,RHOH,ACTA1,ITGA4
Salvage Pathways of Pyrimidine Deoxyribonucleotides	5,64E-01	1,25E-01	NaN	APOBEC3B
UVB-Induced MAPK Signaling	5,62E-01	5,88E-02	0,000	IRS1,PIK3C3,PRKCH,PRKD3
Amyotrophic Lateral Sclerosis Signaling	5,54E-01	5,31E-02	1,000	Naip1 (includes others),IRS1,PIK3C3,SLC1A2,AKT3,CACNA1A
p53 Signaling	5,54E-01	5,31E-02	-0,816	IRS1,PIK3C3,AKT3,SERPINB5,BIRC5,SERPINE2
Iron homeostasis signaling pathway	5,42E-01	5,11E-02	NaN	BMP3,NUBP1,BMP7,CYBRD1,JAK3,PDGFB,LRP1
FLT3 Signaling in Hematopoietic Progenitor Cells	5,39E-01	5,43E-02	1,342	STAT4,IRS1,PIK3C3,AKT3,STAT1
FGF Signaling	5,39E-01	5,43E-02	0,447	FGF16,IRS1,PIK3C3,AKT3,FGFRL1
Apelin Cardiomyocyte Signaling Pathway	5,35E-01	5,22E-02	0,447	IRS1,PIK3C3,AKT3,PRKCH,SLC8A1,PRKD3
Sucrose Degradation V (Mammalian)	5,21E-01	1,11E-01	NaN	SI
LPS-stimulated MAPK Signaling	5,06E-01	5,26E-02	0,447	IRS1,PIK3C3,CD14,PRKCH,PRKD3
Embryonic Stem Cell Differentiation into Cardiac Lineages	4,84E-01	1E-01	NaN	ISL1
Calcium Transport I	4,84E-01	1E-01	NaN	ATP2B4
Salvage Pathways of Pyrimidine Ribonucleotides	4,84E-01	5,15E-02	-0,447	APOBEC3B,DAPK1,AK1,PRKCH,PCK1
Acetone Degradation I (to Methylglyoxal)	4,84E-01	6,67E-02	NaN	CYP2J2,CYP2C8
Mineralocorticoid Biosynthesis	4,84E-01	1E-01	NaN	HSD3B1
Glycine Betaine Degradation	4,84E-01	1E-01	NaN	PIPOX
PDGF Signaling	4,75E-01	5,1E-02	0,447	IRS1,PIK3C3,STAT1,JAK3,PDGFB
Pancreatic Adenocarcinoma Signaling	4,69E-01	4,92E-02	1,633	IRS1,PIK3C3,AKT3,STAT1,JAK3,BIRC5
Gαi Signaling	4,69E-01	4,92E-02	0,816	PRKACB,ADCY9,ADCY1,GNG2,ADCY8,ADCY7
G Protein Signaling Mediated by Tubby	4,66E-01	6,45E-02	NaN	LCK,GNG2
TR/RXR Activation	4,55E-01	5E-02	NaN	IRS1,PIK3C3,AKT3,NCOR2,PCK1
Transcriptional Regulatory Network in Embryonic Stem Cells	4,53E-01	5,56E-02	NaN	ISL1,OTX1,SIX3
ErbB2-ErbB3 Signaling	4,52E-01	5,19E-02	0,000	IRS1,PIK3C3,NRG4,JAK3
Rac Signaling	4,51E-01	4,84E-02	1,633	CYFIP2,IRS1,PIK3C3,ITGA5,NOX1,ITGA4
Glutathione-mediated Detoxification	4,49E-01	6,25E-02	NaN	GSTM1,GGH
Fatty Acid β-oxidation I	4,49E-01	6,25E-02	NaN	ACSBG1,ACSL6
Epithelial Adherens Junction Signaling	4,41E-01	4,7E-02	NaN	WAS,ACTN2,MYO7A,TGFBR3,AKT3,ACVR1C,ACTA1
